id,name,courseState,enrollmentCode,guardiansEnabled,alternateLink,ownerId,creationTime,updateTime,calendarId,courseGroupEmail,teacherGroupEmail,teacherFolder.id,teacherFolder.title,teacherFolder.alternateLink,gradebookSettings.calculationType,gradebookSettings.displaySetting
867269829479,1-01 клас. Англійська мова (Група 2),ACTIVE,ovrpzwnn,True,https://classroom.google.com/c/ODY3MjY5ODI5NDc5,112650800097094238847,2026-06-07T10:12:18Z,2026-06-07T10:12:18Z,c_classroomceea7feb@group.calendar.google.com,1_01_2_c19c665d@schoolgus.ukr.education,1_01_2_teachers_79268f7b@schoolgus.ukr.education,1aTqoU8WeqzegFr6PXJjMmhUucFCRteSx9pp7v2J5pCdeTw8pxX84OqpBx_0h4zc6uBmyjz_K,1-01 клас. Англійська мова (Група 2),https://drive.google.com/drive/folders/1aTqoU8WeqzegFr6PXJjMmhUucFCRteSx9pp7v2J5pCdeTw8pxX84OqpBx_0h4zc6uBmyjz_K,TOTAL_POINTS,HIDE_OVERALL_GRADE
867270308736,1-Г клас. Англійська мова (Група 2),ACTIVE,buq25o4f,True,https://classroom.google.com/c/ODY3MjcwMzA4NzM2,112650800097094238847,2026-06-07T10:12:14Z,2026-06-07T10:12:14Z,c_classroom2e4347c5@group.calendar.google.com,1_2_fe0f46e0@schoolgus.ukr.education,1_2_teachers_7ff09ada@schoolgus.ukr.education,1biKMQHt6246l2Rd3eGX5kFYicCU5TvQzjbdATpX9_iirISY-AFUp_hnOY8dFmRcFo9Ua0Vr5,1-Г клас. Англійська мова (Група 2),https://drive.google.com/drive/folders/1biKMQHt6246l2Rd3eGX5kFYicCU5TvQzjbdATpX9_iirISY-AFUp_hnOY8dFmRcFo9Ua0Vr5,TOTAL_POINTS,HIDE_OVERALL_GRADE
867270049349,1-Г клас. НУШ (2026-2027),ACTIVE,d2t4b7e2,True,https://classroom.google.com/c/ODY3MjcwMDQ5MzQ5,112650800097094238847,2026-06-07T10:12:14Z,2026-06-07T10:12:14Z,c_classroomcb66fa71@group.calendar.google.com,1_2026_2027_8b863ca6@schoolgus.ukr.education,1_2026_2027_teachers_092cb3cf@schoolgus.ukr.education,1QjruvaKrIOFbwHtU72UTiPJA591XvYVBVHU4EELGv_QKBOOHISfXw8ah3z2rfsgfuBBzbwBN,1-Г клас. НУШ (2026-2027),https://drive.google.com/drive/folders/1QjruvaKrIOFbwHtU72UTiPJA591XvYVBVHU4EELGv_QKBOOHISfXw8ah3z2rfsgfuBBzbwBN,TOTAL_POINTS,HIDE_OVERALL_GRADE
867270096376,1-Г клас. Англійська мова (Група 1),ACTIVE,5gwqug66,True,https://classroom.google.com/c/ODY3MjcwMDk2Mzc2,112650800097094238847,2026-06-07T10:12:14Z,2026-06-07T10:12:14Z,c_classroomc9c72dcb@group.calendar.google.com,1_1_941a2c28@schoolgus.ukr.education,1_1_teachers_a069294b@schoolgus.ukr.education,1eDhYKto3wSGcbGxO00GAjziVn1gvJiKC6LszFaLw-A6J1p6tNrD9-TNsQRyDJTKw5LsHcCki,1-Г клас. Англійська мова (Група 1),https://drive.google.com/drive/folders/1eDhYKto3wSGcbGxO00GAjziVn1gvJiKC6LszFaLw-A6J1p6tNrD9-TNsQRyDJTKw5LsHcCki,TOTAL_POINTS,HIDE_OVERALL_GRADE
867270052567,1-01 клас. НУШ (2026-2027),ACTIVE,rfo2ehci,True,https://classroom.google.com/c/ODY3MjcwMDUyNTY3,112650800097094238847,2026-06-07T10:12:14Z,2026-06-07T10:12:14Z,c_classroom90ec21ff@group.calendar.google.com,1_01_2026_2027_9c8f007d@schoolgus.ukr.education,1_01_2026_2027_teachers_bd086daf@schoolgus.ukr.education,1F3tIi-7hANHjFnoUkSElk3MNgZcEg-cXiLXMk1zJOOc0-TSVX402c8TDglqy0uP6sqttrSxH,1-01 клас. НУШ (2026-2027),https://drive.google.com/drive/folders/1F3tIi-7hANHjFnoUkSElk3MNgZcEg-cXiLXMk1zJOOc0-TSVX402c8TDglqy0uP6sqttrSxH,TOTAL_POINTS,HIDE_OVERALL_GRADE
867270196828,1-01 клас. Англійська мова (Група 1),ACTIVE,h5jpbmmt,True,https://classroom.google.com/c/ODY3MjcwMTk2ODI4,112650800097094238847,2026-06-07T10:12:14Z,2026-06-07T10:12:14Z,c_classroom6fa8082f@group.calendar.google.com,1_01_1_0c280ea4@schoolgus.ukr.education,1_01_1_teachers_eea6f27a@schoolgus.ukr.education,1JkqtKfnKcGYZlo5D9FtlAsGwXXM6kiFVc9caiG3cDOL4Sgp0XiamT9epLaf_nScXteUF9CwX,1-01 клас. Англійська мова (Група 1),https://drive.google.com/drive/folders/1JkqtKfnKcGYZlo5D9FtlAsGwXXM6kiFVc9caiG3cDOL4Sgp0XiamT9epLaf_nScXteUF9CwX,TOTAL_POINTS,HIDE_OVERALL_GRADE
867268900261,1-В клас. Англійська мова (Група 2),ACTIVE,co3s6mix,True,https://classroom.google.com/c/ODY3MjY4OTAwMjYx,112650800097094238847,2026-06-07T09:51:14Z,2026-06-07T09:51:14Z,c_classroomcd50983c@group.calendar.google.com,1_2_2642bd06@schoolgus.ukr.education,1_2_teachers_060052ef@schoolgus.ukr.education,1n-68a1a7lVw8gol8HLuKZsoHiMzDjr8btElOtSKwT04-PllbgSB9oFzR8T90TXsgkrysbIuF,1-В клас. Англійська мова (Група 2),https://drive.google.com/drive/folders/1n-68a1a7lVw8gol8HLuKZsoHiMzDjr8btElOtSKwT04-PllbgSB9oFzR8T90TXsgkrysbIuF,TOTAL_POINTS,HIDE_OVERALL_GRADE
867269536789,1-Б клас. Англійська мова (Група 2),ACTIVE,abgf3fmo,True,https://classroom.google.com/c/ODY3MjY5NTM2Nzg5,112650800097094238847,2026-06-07T09:51:11Z,2026-06-07T09:51:11Z,c_classroom150f0d47@group.calendar.google.com,1_2_de0e6eb0@schoolgus.ukr.education,1_2_teachers_d7a396ff@schoolgus.ukr.education,1BLkbQvcFQK44O0TjCJX83hfYahlxgbvLZ9jId4miYfEDDuHmQika6UEMPuPK56EYWlTI1jmj,1-Б клас. Англійська мова (Група 2),https://drive.google.com/drive/folders/1BLkbQvcFQK44O0TjCJX83hfYahlxgbvLZ9jId4miYfEDDuHmQika6UEMPuPK56EYWlTI1jmj,TOTAL_POINTS,HIDE_OVERALL_GRADE
867268618041,1-В клас. Англійська мова (Група 1),ACTIVE,7ykmsj5c,True,https://classroom.google.com/c/ODY3MjY4NjE4MDQx,112650800097094238847,2026-06-07T09:51:11Z,2026-06-07T09:51:11Z,c_classroom7e9b915b@group.calendar.google.com,1_1_b8fd26eb@schoolgus.ukr.education,1_1_teachers_43cf17f5@schoolgus.ukr.education,1Sxo3awi_LJNdyWz59lCRNW3nhC4ZoOgZVB4htlRH-yIuas-0uWWF4XR9jhNJ9__p5GiVVFIm,1-В клас. Англійська мова (Група 1),https://drive.google.com/drive/folders/1Sxo3awi_LJNdyWz59lCRNW3nhC4ZoOgZVB4htlRH-yIuas-0uWWF4XR9jhNJ9__p5GiVVFIm,TOTAL_POINTS,HIDE_OVERALL_GRADE
867267818221,1-В клас. НУШ (2026-2027),ACTIVE,ebdtdxrd,True,https://classroom.google.com/c/ODY3MjY3ODE4MjIx,112650800097094238847,2026-06-07T09:51:11Z,2026-06-07T09:51:11Z,c_classroom2f7d637f@group.calendar.google.com,1_2026_2027_58236ded@schoolgus.ukr.education,1_2026_2027_teachers_ab8e2832@schoolgus.ukr.education,1yuSQmvXSsjooGWdrPjytqD6gTfRy62LKRpjGDJE8laI49P9AfK0Rip6KEZlBHyfwYtWTiyA5,1-В клас. НУШ (2026-2027),https://drive.google.com/drive/folders/1yuSQmvXSsjooGWdrPjytqD6gTfRy62LKRpjGDJE8laI49P9AfK0Rip6KEZlBHyfwYtWTiyA5,TOTAL_POINTS,HIDE_OVERALL_GRADE
867269784292,1-Б клас. НУШ (2026-2027),ACTIVE,irtp7xvr,True,https://classroom.google.com/c/ODY3MjY5Nzg0Mjky,112650800097094238847,2026-06-07T09:51:11Z,2026-06-07T09:51:11Z,c_classroomefd5cf67@group.calendar.google.com,1_2026_2027_60971695@schoolgus.ukr.education,1_2026_2027_teachers_3fd1a359@schoolgus.ukr.education,1qagP3c_HZkHF7ExPxH4Kk0Lp0kbVSK6qrG8mS1gzBgnG8YCtdBTEBy4G_xFyt6wTz1OZ14BH,1-Б клас. НУШ (2026-2027),https://drive.google.com/drive/folders/1qagP3c_HZkHF7ExPxH4Kk0Lp0kbVSK6qrG8mS1gzBgnG8YCtdBTEBy4G_xFyt6wTz1OZ14BH,TOTAL_POINTS,HIDE_OVERALL_GRADE
867269734400,1-Б клас. Англійська мова (Група 1),ACTIVE,hz5ckbhb,True,https://classroom.google.com/c/ODY3MjY5NzM0NDAw,112650800097094238847,2026-06-07T09:51:11Z,2026-06-07T09:51:11Z,c_classroomb525f8ed@group.calendar.google.com,1_1_b8c5523d@schoolgus.ukr.education,1_1_teachers_1c2d07a3@schoolgus.ukr.education,16q3Y6vhY_xfIPKMSy50j7LUq6vW8V4YwdeRN4o6wxE_a0XLAH5rDwfMKFY1tP9P0x3xsW1Id,1-Б клас. Англійська мова (Група 1),https://drive.google.com/drive/folders/16q3Y6vhY_xfIPKMSy50j7LUq6vW8V4YwdeRN4o6wxE_a0XLAH5rDwfMKFY1tP9P0x3xsW1Id,TOTAL_POINTS,HIDE_OVERALL_GRADE
867268879260,1-А клас. Англійська мова (Група 2),ACTIVE,yecnv6ek,True,https://classroom.google.com/c/ODY3MjY4ODc5MjYw,112650800097094238847,2026-06-07T09:32:13Z,2026-06-07T09:32:13Z,c_classroom84c8a7fa@group.calendar.google.com,1_2_43bad258@schoolgus.ukr.education,1_2_teachers_887e493d@schoolgus.ukr.education,1cNm8scXfMXwwqPhDftm6HrnkHKPLZWqlqbStr6nfFcnc8eK3SJl6XMvzq_Gt0jQplUZnoY6k,1-А клас. Англійська мова (Група 2),https://drive.google.com/drive/folders/1cNm8scXfMXwwqPhDftm6HrnkHKPLZWqlqbStr6nfFcnc8eK3SJl6XMvzq_Gt0jQplUZnoY6k,TOTAL_POINTS,HIDE_OVERALL_GRADE
867269419571,1-А клас. Англійська мова (Група 1),ACTIVE,wrzoqyn4,True,https://classroom.google.com/c/ODY3MjY5NDE5NTcx,112650800097094238847,2026-06-07T09:32:13Z,2026-06-07T09:32:13Z,c_classroomd260852e@group.calendar.google.com,1_1_959611fc@schoolgus.ukr.education,1_1_teachers_be0a70f4@schoolgus.ukr.education,1xLCdrMnHJsJ-ONtO0oc2fQLDZxjIp7wqThclV-oq3vlomG5EoGR_lLyOGhtaQZ-VI1za4R62,1-А клас. Англійська мова (Група 1),https://drive.google.com/drive/folders/1xLCdrMnHJsJ-ONtO0oc2fQLDZxjIp7wqThclV-oq3vlomG5EoGR_lLyOGhtaQZ-VI1za4R62,TOTAL_POINTS,HIDE_OVERALL_GRADE
867269348958,1-А клас. НУШ (2026-2027),ACTIVE,xpb4tyhm,True,https://classroom.google.com/c/ODY3MjY5MzQ4OTU4,112650800097094238847,2026-06-07T09:32:13Z,2026-06-07T09:32:13Z,c_classroomaa3818c7@group.calendar.google.com,1_2026_2027_d8d3a87f@schoolgus.ukr.education,1_2026_2027_teachers_ca17d5e6@schoolgus.ukr.education,1tW-_UvIkpRcdGggqhd3JM9GUcx1jPYr6UgVU8RDMP24z7QUHYs3H4NVk0Js3jg96CsNVdk_Z,1-А клас. НУШ (2026-2027),https://drive.google.com/drive/folders/1tW-_UvIkpRcdGggqhd3JM9GUcx1jPYr6UgVU8RDMP24z7QUHYs3H4NVk0Js3jg96CsNVdk_Z,TOTAL_POINTS,HIDE_OVERALL_GRADE

