courseId,courseName,topicId,name,updateTime
867336986959,04. 04 клас. Екстернат (2026-2027),855027868808,Атестаційні / Контрольні роботи,2026-06-08T12:01:53Z
867336986959,04. 04 клас. Екстернат (2026-2027),855028183698,Основи здоров'я / Добробут,2026-06-08T12:01:19Z
867336986959,04. 04 клас. Екстернат (2026-2027),867338456489,Дизайн і технології,2026-06-08T12:01:14Z
867336986959,04. 04 клас. Екстернат (2026-2027),867331868697,Фізична культура / Основи здоров'я,2026-06-08T11:53:28Z
867336986959,04. 04 клас. Екстернат (2026-2027),867336799199,Мистецтво (Образотворче / Музичне),2026-06-08T11:53:23Z
867336986959,04. 04 клас. Екстернат (2026-2027),867334631975,Інформатика,2026-06-08T11:53:18Z
867336986959,04. 04 клас. Екстернат (2026-2027),855027225176,Англійська мова,2026-06-08T11:53:13Z
867336986959,04. 04 клас. Екстернат (2026-2027),855027471339,Я досліджую світ,2026-06-08T11:53:09Z
867336986959,04. 04 клас. Екстернат (2026-2027),867336790254,Математика,2026-06-08T11:53:04Z
867336986959,04. 04 клас. Екстернат (2026-2027),867337610776,Українська мова та читання,2026-06-08T11:53:00Z
867335860978,04. 4-Г Інформатика (2026-2027),867337262380,Створення проектів / Підсумкова робота,2026-06-08T11:50:51Z
867335860978,04. 4-Г Інформатика (2026-2027),867336893673,Алгоритми та виконавці (Програмування Scratch),2026-06-08T11:50:46Z
867335860978,04. 4-Г Інформатика (2026-2027),867332576992,Комп'ютерні презентації,2026-06-08T11:50:41Z
867335860978,04. 4-Г Інформатика (2026-2027),867337522519,Робота з текстовими документами,2026-06-08T11:50:36Z
867335860978,04. 4-Г Інформатика (2026-2027),867319031641,Мережеві технології та інтернет-безпека,2026-06-08T11:50:31Z
867335860978,04. 4-Г Інформатика (2026-2027),867336595357,Інформаційні процеси та системи,2026-06-08T11:50:27Z
867335589149,04. 4-А Англійська мова (2026-2027),855027348771,"Свята, традиції та дозвілля",2026-06-08T11:48:21Z
867335589149,04. 4-А Англійська мова (2026-2027),867335106618,Погода та пори року,2026-06-08T11:48:15Z
867335589149,04. 4-А Англійська мова (2026-2027),855027496715,Одяг та купівельний досвід,2026-06-08T11:48:11Z
867335589149,04. 4-А Англійська мова (2026-2027),867336998013,Помешкання / Мій дім,2026-06-08T11:48:07Z
867335589149,04. 4-А Англійська мова (2026-2027),867337066996,Їжа та напої,2026-06-08T11:48:02Z
867335589149,04. 4-А Англійська мова (2026-2027),867334823759,Світ навколо мене,2026-06-08T11:47:56Z
867335589149,04. 4-А Англійська мова (2026-2027),867336862350,Моя школа та навчання,2026-06-08T11:47:52Z
867335589149,04. 4-А Англійська мова (2026-2027),855027727623,"Я, мої друзі та сім'я",2026-06-08T11:47:47Z
867335109249,04. 4-Г клас (2026-2027),867337500825,Основи здоров'я / Добробут,2026-06-08T11:57:12Z
867335109249,04. 4-Г клас (2026-2027),867335820820,Фізична культура,2026-06-08T11:57:07Z
867335109249,04. 4-Г клас (2026-2027),867335717710,Дизайн і технології,2026-06-08T11:57:03Z
867335109249,04. 4-Г клас (2026-2027),867337336793,Мистецтво (Образотворче / Музичне),2026-06-08T11:56:59Z
867335109249,04. 4-Г клас (2026-2027),867335594021,Я досліджую світ,2026-06-08T11:56:55Z
867335109249,04. 4-Г клас (2026-2027),867336988449,Математика,2026-06-08T11:56:50Z
867335109249,04. 4-Г клас (2026-2027),855027447297,Українська література / Читання,2026-06-08T11:56:46Z
867335109249,04. 4-Г клас (2026-2027),867336427337,Українська мова,2026-06-08T11:56:41Z
867335907947,04. 4-В Інформатика (2026-2027),867337054618,Створення проектів / Підсумкова робота,2026-06-08T11:50:21Z
867335907947,04. 4-В Інформатика (2026-2027),867323097568,Алгоритми та виконавці (Програмування Scratch),2026-06-08T11:50:17Z
867335907947,04. 4-В Інформатика (2026-2027),867337438273,Комп'ютерні презентації,2026-06-08T11:50:12Z
867335907947,04. 4-В Інформатика (2026-2027),855027442351,Робота з текстовими документами,2026-06-08T11:50:08Z
867335907947,04. 4-В Інформатика (2026-2027),867336924718,Мережеві технології та інтернет-безпека,2026-06-08T11:50:02Z
867335907947,04. 4-В Інформатика (2026-2027),855027499390,Інформаційні процеси та системи,2026-06-08T11:49:56Z
867336436019,04. 4-В Англійська мова (2026-2027),867337261049,"Свята, традиції та дозвілля",2026-06-08T11:47:42Z
867336436019,04. 4-В Англійська мова (2026-2027),867335645361,Погода та пори року,2026-06-08T11:47:38Z
867336436019,04. 4-В Англійська мова (2026-2027),855027151168,Одяг та купівельний досвід,2026-06-08T11:47:34Z
867336436019,04. 4-В Англійська мова (2026-2027),867334894026,Помешкання / Мій дім,2026-06-08T11:47:28Z
867336436019,04. 4-В Англійська мова (2026-2027),867336638383,Їжа та напої,2026-06-08T11:47:24Z
867336436019,04. 4-В Англійська мова (2026-2027),855027722735,Світ навколо мене,2026-06-08T11:47:19Z
867336436019,04. 4-В Англійська мова (2026-2027),867337089175,Моя школа та навчання,2026-06-08T11:47:15Z
867336436019,04. 4-В Англійська мова (2026-2027),867335115374,"Я, мої друзі та сім'я",2026-06-08T11:47:10Z
867336386177,04. 4-В клас (2026-2027),855027966479,Основи здоров'я / Добробут,2026-06-08T11:56:37Z
867336386177,04. 4-В клас (2026-2027),867336436236,Фізична культура,2026-06-08T11:56:32Z
867336386177,04. 4-В клас (2026-2027),867336771689,Дизайн і технології,2026-06-08T11:56:28Z
867336386177,04. 4-В клас (2026-2027),867337069797,Мистецтво (Образотворче / Музичне),2026-06-08T11:56:23Z
867336386177,04. 4-В клас (2026-2027),855027830941,Я досліджую світ,2026-06-08T11:56:19Z
867336386177,04. 4-В клас (2026-2027),867337574165,Математика,2026-06-08T11:56:14Z
867336386177,04. 4-В клас (2026-2027),867320873240,Українська література / Читання,2026-06-08T11:56:10Z
867336386177,04. 4-В клас (2026-2027),855027745960,Українська мова,2026-06-08T11:56:05Z
867336251785,04. 4-Б Інформатика (2026-2027),855024514488,Створення проектів / Підсумкова робота,2026-06-08T11:49:52Z
867336251785,04. 4-Б Інформатика (2026-2027),855027661354,Алгоритми та виконавці (Програмування Scratch),2026-06-08T11:49:47Z
867336251785,04. 4-Б Інформатика (2026-2027),867336908926,Комп'ютерні презентації,2026-06-08T11:49:43Z
867336251785,04. 4-Б Інформатика (2026-2027),855027770637,Робота з текстовими документами,2026-06-08T11:49:39Z
867336251785,04. 4-Б Інформатика (2026-2027),867337125358,Мережеві технології та інтернет-безпека,2026-06-08T11:49:33Z
867336251785,04. 4-Б Інформатика (2026-2027),867336761723,Інформаційні процеси та системи,2026-06-08T11:49:29Z
867335850617,04. 4-Б Англійська мова (2026-2027),867336131159,"Свята, традиції та дозвілля",2026-06-08T11:47:05Z
867335850617,04. 4-Б Англійська мова (2026-2027),867336258960,Погода та пори року,2026-06-08T11:47:01Z
867335850617,04. 4-Б Англійська мова (2026-2027),867335644548,Одяг та купівельний досвід,2026-06-08T11:46:56Z
867335850617,04. 4-Б Англійська мова (2026-2027),867333821330,Помешкання / Мій дім,2026-06-08T11:46:52Z
867335850617,04. 4-Б Англійська мова (2026-2027),867336637144,Їжа та напої,2026-06-08T11:46:46Z
867335850617,04. 4-Б Англійська мова (2026-2027),867336140911,Світ навколо мене,2026-06-08T11:46:41Z
867335850617,04. 4-Б Англійська мова (2026-2027),867336738001,Моя школа та навчання,2026-06-08T11:46:37Z
