alias,name,owner
09_9A_UkrMova_26,09. 9-А клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_UkrLit_26,09. 9-А клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_ZarLit_26,09. 9-А клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Eng_26,09. 9-А клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Ger_26,09. 9-А клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_IstUkr_26,09. 9-А клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_VsesIst_26,09. 9-А клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Prav_26,09. 9-А клас. Основи правознавства (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Alg_26,09. 9-А клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Geo_26,09. 9-А клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Bio_26,09. 9-А клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Geogr_26,09. 9-А клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Fiz_26,09. 9-А клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Him_26,09. 9-А клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Inf_26,09. 9-А клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Myst_26,09. 9-А клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Tech_26,09. 9-А клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Zdor_26,09. 9-А клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_FizKul_26,09. 9-А клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9A_Hryst_26,09. 9-А клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_UkrMova_26,09. 9-Б клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_UkrLit_26,09. 9-Б клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_ZarLit_26,09. 9-Б клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
09_9B_Eng_26,09. 9-Б клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
