id,name
867272231020,2-Г клас. Англійська мова (Група 1)
867271399818,02 клас. Екстернат (2026-2027)
867272363538,2-Г клас. Англійська мова (Група 2)
867271741537,2-Б клас. Англійська мова (Група 2)
867271652276,2-В клас. НУШ (2026-2027)
867272289507,2-В клас. Англійська мова (Група 1)
867270615070,2-Г клас. НУШ (2026-2027)
867270823978,2-В клас. Англійська мова (Група 2)
867271980954,2-Б клас. Англійська мова (Група 1)
867271596986,2-А клас. НУШ (2026-2027)
867271144756,2-А клас. Англійська мова (Група 1)
867272053797,2-А клас. Англійська мова (Група 2)
867271054907,2-Б клас. НУШ (2026-2027)
866995901853,2-В
