alias,name,owner
07_7A_UkrMova_26,07. 7-А клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_UkrLit_26,07. 7-А клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_ZarLit_26,07. 7-А клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Eng_26,07. 7-А клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Ger_26,07. 7-А клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_IstUkr_26,07. 7-А клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_VsesIst_26,07. 7-А клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Alg_26,07. 7-А клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Geo_26,07. 7-А клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Bio_26,07. 7-А клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Geogr_26,07. 7-А клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Fiz_26,07. 7-А клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Him_26,07. 7-А клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Inf_26,07. 7-А клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Myst_26,07. 7-А клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Tech_26,07. 7-А клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Zdor_26,07. 7-А клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_FizKul_26,07. 7-А клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7A_Hryst_26,07. 7-А клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_UkrMova_26,07. 7-Б клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_UkrLit_26,07. 7-Б клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_ZarLit_26,07. 7-Б клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Eng_26,07. 7-Б клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Ger_26,07. 7-Б клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_IstUkr_26,07. 7-Б клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_VsesIst_26,07. 7-Б клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Alg_26,07. 7-Б клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
07_7B_Geo_26,07. 7-Б клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
