alias,name,owner
08_8A_UkrMova_26,08. 8-А клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_UkrLit_26,08. 8-А клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_ZarLit_26,08. 8-А клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Eng_26,08. 8-А клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Ger_26,08. 8-А клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_IstUkr_26,08. 8-А клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_VsesIst_26,08. 8-А клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Alg_26,08. 8-А клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Geo_26,08. 8-А клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Bio_26,08. 8-А клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Geogr_26,08. 8-А клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Fiz_26,08. 8-А клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Him_26,08. 8-А клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Inf_26,08. 8-А клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Myst_26,08. 8-А клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Tech_26,08. 8-А клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Zdor_26,08. 8-А клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_FizKul_26,08. 8-А клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8A_Hryst_26,08. 8-А клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_UkrMova_26,08. 8-Б клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_UkrLit_26,08. 8-Б клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_ZarLit_26,08. 8-Б клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Eng_26,08. 8-Б клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Ger_26,08. 8-Б клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_IstUkr_26,08. 8-Б клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_VsesIst_26,08. 8-Б клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Alg_26,08. 8-Б клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Geo_26,08. 8-Б клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Bio_26,08. 8-Б клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Geogr_26,08. 8-Б клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Fiz_26,08. 8-Б клас. Фізика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Him_26,08. 8-Б клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Inf_26,08. 8-Б клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Myst_26,08. 8-Б клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Tech_26,08. 8-Б клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Zdor_26,08. 8-Б клас. Здоров'я безпека та добробут (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_FizKul_26,08. 8-Б клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8B_Hryst_26,08. 8-Б клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_UkrMova_26,08. 8-В клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_UkrLit_26,08. 8-В клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_ZarLit_26,08. 8-В клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Eng_26,08. 8-В клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Ger_26,08. 8-В клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_IstUkr_26,08. 8-В клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_VsesIst_26,08. 8-В клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Alg_26,08. 8-В клас. Алгебра (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Geo_26,08. 8-В клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Bio_26,08. 8-В клас. Біологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
08_8V_Geogr_26,08. 8-В клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
