alias,name,owner
10_10A_UkrMova_26,10. 10-А клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_UkrLit_26,10. 10-А клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_ZarLit_26,10. 10-А клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Eng_26,10. 10-А клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Ger_26,10. 10-А клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_IstUkr_26,10. 10-А клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_VsesIst_26,10. 10-А клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Grom_26,10. 10-А клас. Громадянська освіта (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Alg_26,10. 10-А клас. Алгебра і початки аналізу (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Geo_26,10. 10-А клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Bio_26,10. 10-А клас. Біологія і екологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Geogr_26,10. 10-А клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Fiz_26,10. 10-А клас. Фізика і астрономія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Him_26,10. 10-А клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Inf_26,10. 10-А клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Myst_26,10. 10-А клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Tech_26,10. 10-А клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Zakh_26,10. 10-А клас. Захист України (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_FizKul_26,10. 10-А клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10A_Hryst_26,10. 10-А клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_UkrMova_26,10. 10-Б клас. Українська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_UkrLit_26,10. 10-Б клас. Українська література (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_ZarLit_26,10. 10-Б клас. Зарубіжна література (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Eng_26,10. 10-Б клас. Англійська мова (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Ger_26,10. 10-Б клас. Друга іноземна мова (Німецька) (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_IstUkr_26,10. 10-Б клас. Історія України (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_VsesIst_26,10. 10-Б клас. Всесвітня історія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Grom_26,10. 10-Б клас. Громадянська освіта (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Alg_26,10. 10-Б клас. Алгебра і початки аналізу (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Geo_26,10. 10-Б клас. Геометрія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Bio_26,10. 10-Б клас. Біологія і екологія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Geogr_26,10. 10-Б клас. Географія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Fiz_26,10. 10-Б клас. Фізика і астрономія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Him_26,10. 10-Б клас. Хімія (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Inf_26,10. 10-Б клас. Інформатика (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Myst_26,10. 10-Б клас. Мистецтво (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Tech_26,10. 10-Б клас. Технології (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Zakh_26,10. 10-Б клас. Захист України (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_FizKul_26,10. 10-Б клас. Фізична культура (2026-2027),martsinkovskiy@schoolgus.ukr.education
10_10B_Hryst_26,10. 10-Б клас. Основи християнської етики (2026-2027),martsinkovskiy@schoolgus.ukr.education
