id,name,courseState,section,enrollmentCode,guardiansEnabled,alternateLink,ownerId,creationTime,updateTime,calendarId,courseGroupEmail,teacherGroupEmail,teacherFolder.id,teacherFolder.title,teacherFolder.alternateLink,gradebookSettings.calculationType,gradebookSettings.displaySetting
867400251453,05. 5-Б клас. Українська мова (2026-2027),ACTIVE,Середня школа,qqkmypdv,True,https://classroom.google.com/c/ODY3NDAwMjUxNDUz,112650800097094238847,2026-06-08T20:19:52Z,2026-06-08T20:45:45Z,c_classroom4d39764e@group.calendar.google.com,05_5_2026_2027_892d993b@schoolgus.ukr.education,05_5_2026_2027_teachers_c9b0a022@schoolgus.ukr.education,12ivf0xT9UwhwSU66RLTCdMHu5ZspwKlewk8Yn5czI-XrIPXVm-o-AYCbILDlii_DRsA00Qru,05. 5-Б клас. Українська мова (2026-2027) Середня школа,https://drive.google.com/drive/folders/12ivf0xT9UwhwSU66RLTCdMHu5ZspwKlewk8Yn5czI-XrIPXVm-o-AYCbILDlii_DRsA00Qru,TOTAL_POINTS,HIDE_OVERALL_GRADE
867399032607,05. 5-Б клас. Українська література (2026-2027),ACTIVE,Середня школа,2gim24a5,True,https://classroom.google.com/c/ODY3Mzk5MDMyNjA3,112650800097094238847,2026-06-08T20:19:52Z,2026-06-08T20:45:30Z,,05_5_2026_2027_1a58591f@schoolgus.ukr.education,05_5_2026_2027_teachers_1132127f@schoolgus.ukr.education,1dNv7V_AhGNNSFqYGfnA2vr18dVI3QoV1-ASJMm9oI_yHTFboxbRaB5UDdfc2pmxi7exW6tF8,05. 5-Б клас. Українська література (2026-2027) Середня школа,https://drive.google.com/drive/folders/1dNv7V_AhGNNSFqYGfnA2vr18dVI3QoV1-ASJMm9oI_yHTFboxbRaB5UDdfc2pmxi7exW6tF8,TOTAL_POINTS,HIDE_OVERALL_GRADE
867399197602,05. 5-Б клас. Зарубіжна література (2026-2027),ACTIVE,Середня школа,qagqf5g7,True,https://classroom.google.com/c/ODY3Mzk5MTk3NjAy,112650800097094238847,2026-06-08T20:19:51Z,2026-06-08T20:19:51Z,c_classroom6ee5d064@group.calendar.google.com,05_5_2026_2027_8cdfda78@schoolgus.ukr.education,05_5_2026_2027_teachers_1131a5ee@schoolgus.ukr.education,1jiQaTr3T_TPGfabJ23ItfmzMAX5Ddgt4N4fwK6uxygTwEW7J6gayG_jVS0zxFW6p8hWjTk7u,05. 5-Б клас. Зарубіжна література (2026-2027) Середня школа,https://drive.google.com/drive/folders/1jiQaTr3T_TPGfabJ23ItfmzMAX5Ddgt4N4fwK6uxygTwEW7J6gayG_jVS0zxFW6p8hWjTk7u,TOTAL_POINTS,HIDE_OVERALL_GRADE
867400128322,05. 5-Б клас. Вступ до історії України (2026-2027),ACTIVE,Середня школа,g7anvqxy,True,https://classroom.google.com/c/ODY3NDAwMTI4MzIy,112650800097094238847,2026-06-08T20:19:48Z,2026-06-08T20:45:10Z,c_classroom698a2d19@group.calendar.google.com,05_5_2026_2027_fdbf53bb@schoolgus.ukr.education,05_5_2026_2027_teachers_d54468d1@schoolgus.ukr.education,1lmWOW1I3mASnKj14acRbgMh0XfNwA_C4iUdidMJa30nQRcW3pcl2zPyDHBiqpEmO1Hlxb5zg,05. 5-Б клас. Вступ до історії України (2026-2027) Середня школа,https://drive.google.com/drive/folders/1lmWOW1I3mASnKj14acRbgMh0XfNwA_C4iUdidMJa30nQRcW3pcl2zPyDHBiqpEmO1Hlxb5zg,TOTAL_POINTS,HIDE_OVERALL_GRADE
867399599207,05. 5-Б клас. Пізнаємо природу (2026-2027),ACTIVE,Середня школа,zagtokbj,True,https://classroom.google.com/c/ODY3Mzk5NTk5MjA3,112650800097094238847,2026-06-08T20:19:48Z,2026-06-08T20:44:53Z,c_classroom1fc16cd5@group.calendar.google.com,05_5_2026_2027_2383737f@schoolgus.ukr.education,05_5_2026_2027_teachers_46d28084@schoolgus.ukr.education,1_VJI4oVvVbJhCtrhD2CF_ylJEbzF3czTmqDrKO3nIyIK0q2IpeL9YXkia3OrLURzFrrsL2UY,05. 5-Б клас. Пізнаємо природу (2026-2027) Середня школа,https://drive.google.com/drive/folders/1_VJI4oVvVbJhCtrhD2CF_ylJEbzF3czTmqDrKO3nIyIK0q2IpeL9YXkia3OrLURzFrrsL2UY,TOTAL_POINTS,HIDE_OVERALL_GRADE
867400215541,05. 5-Б клас. Математика (2026-2027),ACTIVE,Середня школа,wjkgtwu4,True,https://classroom.google.com/c/ODY3NDAwMjE1NTQx,112650800097094238847,2026-06-08T20:19:48Z,2026-06-08T20:44:29Z,c_classroom1329402a@group.calendar.google.com,05_5_2026_2027_72895a2a@schoolgus.ukr.education,05_5_2026_2027_teachers_7ede4313@schoolgus.ukr.education,1ameoty7adtULwkmxEi4ITwtkdhDT_lONdgIaEnO3ieFxpZlBJzcscQfmZRXoKipMvXWPOwAy,05. 5-Б клас. Математика (2026-2027) Середня школа,https://drive.google.com/drive/folders/1ameoty7adtULwkmxEi4ITwtkdhDT_lONdgIaEnO3ieFxpZlBJzcscQfmZRXoKipMvXWPOwAy,TOTAL_POINTS,HIDE_OVERALL_GRADE
867399230602,05. 5-Б клас. Англійська мова (Гр. 2) (2026-2027),ACTIVE,Середня школа,76fqp2q6,True,https://classroom.google.com/c/ODY3Mzk5MjMwNjAy,112650800097094238847,2026-06-08T20:19:48Z,2026-06-08T20:19:48Z,c_classroom3e47d704@group.calendar.google.com,05_5_2_2026_2027_ba0f2010@schoolgus.ukr.education,05_5_2_2026_2027_teachers_f085d882@schoolgus.ukr.education,1e3z8V0JrRXLVObW_1zSl07-jePy-A5xENwAfFCe9s1ys_06miadg51eXHm7yOH5wxtm8Hu7q,05. 5-Б клас. Англійська мова (Гр. 2) (2026-2027) Середня школа,https://drive.google.com/drive/folders/1e3z8V0JrRXLVObW_1zSl07-jePy-A5xENwAfFCe9s1ys_06miadg51eXHm7yOH5wxtm8Hu7q,TOTAL_POINTS,HIDE_OVERALL_GRADE
867398475040,05. 5-Б клас. Англійська мова (Гр. 1) (2026-2027),ACTIVE,Середня школа,q5e4y6mf,True,https://classroom.google.com/c/ODY3Mzk4NDc1MDQw,112650800097094238847,2026-06-08T20:19:48Z,2026-06-08T20:44:11Z,c_classroomed7ef9b4@group.calendar.google.com,05_5_1_2026_2027_3a9140f3@schoolgus.ukr.education,05_5_1_2026_2027_teachers_8e14a281@schoolgus.ukr.education,1xe14_2lGqgs368gRIt0rzLK3oSuPs2liCTx5fWnQMt80oaBBUdVKhyrJqlo1WAEZNiwlG9Be,05. 5-Б клас. Англійська мова (Гр. 1) (2026-2027) Середня школа,https://drive.google.com/drive/folders/1xe14_2lGqgs368gRIt0rzLK3oSuPs2liCTx5fWnQMt80oaBBUdVKhyrJqlo1WAEZNiwlG9Be,TOTAL_POINTS,HIDE_OVERALL_GRADE
867400141148,05. 5-Б клас. Технології (Трудове) (Гр. 1) (2026-2027),ACTIVE,Середня школа,i24k73ed,True,https://classroom.google.com/c/ODY3NDAwMTQxMTQ4,112650800097094238847,2026-06-08T20:19:44Z,2026-06-08T20:43:54Z,c_classroom490efff8@group.calendar.google.com,05_5_1_2026_2027_e9d05b52@schoolgus.ukr.education,05_5_1_2026_2027_teachers_3693ea1e@schoolgus.ukr.education,1pcVsWE05euVzeGPyxnPgyzDf3_i70vs7bzisNTH0Op8EHZHQb57dDqfgfEXi888aEm9KOCy_,05. 5-Б клас. Технології (Трудове) (Гр. 1) (2026-2027) Середня школа,https://drive.google.com/drive/folders/1pcVsWE05euVzeGPyxnPgyzDf3_i70vs7bzisNTH0Op8EHZHQb57dDqfgfEXi888aEm9KOCy_,TOTAL_POINTS,HIDE_OVERALL_GRADE
867388482526,05. 5-Б клас. Інформатика (Гр. 2) (2026-2027),ACTIVE,Середня школа,5od47zdg,True,https://classroom.google.com/c/ODY3Mzg4NDgyNTI2,112650800097094238847,2026-06-08T20:19:44Z,2026-06-08T20:43:18Z,c_classroom7ab8f48c@group.calendar.google.com,05_5_2_2026_2027_8035df3b@schoolgus.ukr.education,05_5_2_2026_2027_teachers_0ba91b6a@schoolgus.ukr.education,1YK-KXQs3cwOgLuroxWE50M-l03hHSmJVkP-1oG__B0liFjTNhPXRKxOzQgnuAwvsGZOAdWYn,05. 5-Б клас. Інформатика (Гр. 2) (2026-2027) Середня школа,https://drive.google.com/drive/folders/1YK-KXQs3cwOgLuroxWE50M-l03hHSmJVkP-1oG__B0liFjTNhPXRKxOzQgnuAwvsGZOAdWYn,TOTAL_POINTS,HIDE_OVERALL_GRADE
