id,name,section,creationTime
867792325184,11. 11-Б клас. Основи християнської етики (2026-2027),,2026-06-12T14:51:12Z
867776443513,11. 11-Б клас. Фізична культура (2026-2027),,2026-06-12T14:51:12Z
867791530436,11. 11-Б клас. Технології (2026-2027),,2026-06-12T14:51:11Z
867792512225,11. 11-Б клас. Захист України (2026-2027),,2026-06-12T14:51:11Z
867792466333,11. 11-Б клас. Мистецтво (2026-2027),,2026-06-12T14:51:10Z
867791354337,11. 11-Б клас. Хімія (2026-2027),,2026-06-12T14:51:09Z
867787422615,11. 11-Б клас. Інформатика (2026-2027),,2026-06-12T14:51:09Z
867786158258,11. 11-Б клас. Фізика і астрономія (2026-2027),,2026-06-12T14:51:08Z
867792390116,11. 11-Б клас. Географія (2026-2027),,2026-06-12T14:51:07Z
867789515128,11. 11-Б клас. Біологія і екологія (2026-2027),,2026-06-12T14:51:07Z
867791538027,11. 11-Б клас. Геометрія (2026-2027),,2026-06-12T14:51:06Z
867791303619,11. 11-Б клас. Алгебра і початки аналізу (2026-2027),,2026-06-12T14:51:06Z
867790497516,11. 11-Б клас. Всесвітня історія (2026-2027),,2026-06-12T14:51:05Z
867792694890,11. 11-Б клас. Історія України (2026-2027),,2026-06-12T14:51:04Z
867792329764,11. 11-Б клас. Друга іноземна мова (Німецька) (2026-2027),,2026-06-12T14:51:03Z
867792218267,11. 11-Б клас. Зарубіжна література (2026-2027),,2026-06-12T14:51:03Z
867792397764,11. 11-Б клас. Англійська мова (2026-2027),,2026-06-12T14:51:03Z
867791909915,11. 11-Б клас. Українська література (2026-2027),,2026-06-12T14:51:02Z
867792025334,11. 11-Б клас. Українська мова (2026-2027),,2026-06-12T14:51:01Z
867787301544,11. 11-А клас. Основи християнської етики (2026-2027),,2026-06-12T14:51:00Z
867791624784,11. 11-А клас. Захист України (2026-2027),,2026-06-12T14:50:59Z
867792445913,11. 11-А клас. Технології (2026-2027),,2026-06-12T14:50:59Z
867782037931,11. 11-А клас. Фізична культура (2026-2027),,2026-06-12T14:50:59Z
867791302502,11. 11-А клас. Мистецтво (2026-2027),,2026-06-12T14:50:57Z
867792998373,11. 11-А клас. Хімія (2026-2027),,2026-06-12T14:50:56Z
867792280805,11. 11-А клас. Інформатика (2026-2027),,2026-06-12T14:50:56Z
867792294551,11. 11-А клас. Фізика і астрономія (2026-2027),,2026-06-12T14:50:56Z
798183908153,11. 11-А клас. Географія (2026-2027),,2026-06-12T14:50:55Z
867792832358,11. 11-А клас. Біологія і екологія (2026-2027),,2026-06-12T14:50:53Z
867792707565,11. 11-А клас. Всесвітня історія (2026-2027),,2026-06-12T14:50:52Z
867791719550,11. 11-А клас. Історія України (2026-2027),,2026-06-12T14:50:52Z
867791520651,11. 11-А клас. Алгебра і початки аналізу (2026-2027),,2026-06-12T14:50:52Z
867792293789,11. 11-А клас. Геометрія (2026-2027),,2026-06-12T14:50:52Z
867792241222,11. 11-А клас. Друга іноземна мова (Німецька) (2026-2027),,2026-06-12T14:50:49Z
867792392529,11. 11-А клас. Зарубіжна література (2026-2027),,2026-06-12T14:50:49Z
867790850960,11. 11-А клас. Українська література (2026-2027),,2026-06-12T14:50:49Z
