class-1-a@schoolgus.ukr.education,0
class-1-b@schoolgus.ukr.education,0
class-1-g@schoolgus.ukr.education,0
class-1-v@schoolgus.ukr.education,0
class-10-g@schoolgus.ukr.education,0
class-11-b@schoolgus.ukr.education,0
class-11-g@schoolgus.ukr.education,0
class-11-v@schoolgus.ukr.education,0
class-2-g@schoolgus.ukr.education,0
class-3-g@schoolgus.ukr.education,0
class-4-g@schoolgus.ukr.education,0
class-4-v@schoolgus.ukr.education,0
class-5-g@schoolgus.ukr.education,0
class-6-g@schoolgus.ukr.education,0
class-9-g@schoolgus.ukr.education,0
classroom_teachers@schoolgus.ukr.education,0
externat-1@schoolgus.ukr.education,0
externat-2@schoolgus.ukr.education,0
